date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1001_CS1.lma,917.3448,0,no,751,1010,1691,658,1102,15,531,0.17,0.06,133,739,751,1010,3969,658,1340,1479,1010,0.77,1,1761,0.21,0.4
1002_2_CS1.lma,890.6778,0,no,329,705,728,305,559,5,80,0.67,0.05,58,177,329,775,2865,305,852,751,775,0.7,1,1902,0.16,0.44
1002_CS1.lma,1080.0135,0,no,751,1174,1761,751,1464,17,216,0.52,0.03,162,588,728,1174,3006,728,1490,1667,1174,0.75,1,1503,0.18,0.3
1004_CS3.lma,736.0092,0,no,1245,1127,1409,798,1215,8,103,0.26,-0.03,128,399,1245,1127,2818,376,1383,1080,1127,0.78,1,1409,0.18,0.3
1009_CS1.lma,645.3414,0,no,540,939,963,517,800,9,178,0.92,0.05,45,257,540,939,1785,517,930,892,658,0.68,0.92,1127,0.16,0.28
1011_CS1.lma,613.341,0,no,1057,1221,1386,705,1260,8,225,0.46,0,102,559,1057,611,1386,611,1241,1386,611,0.59,1,282,0.58,0.84
1014_CS1.lma,840.0105,0,no,611,1245,1432,540,1191,7,75,0.74,0.08,156,489,611,1245,2771,329,1652,1127,1245,0.93,1,1386,0.22,0.34
1018_2_CS1.lma,816.0102,0,no,775,1221,1409,705,1200,11,258,0.46,0.05,126,420,587,1221,2818,564,1349,751,1221,0.08,1,1409,0.21,0.4
1018_CS1.lma,744.0093,0,no,751,1033,1691,728,1327,23,197,0.24,0,250,592,751,1033,1691,681,1325,1573,1033,0.3,1,493,0.16,0.26
1032_2_CS2.lma,666.675,0,no,1127,1386,1620,1127,1487,5,85,0.16,-0.02,53,406,1127,634,1620,634,1463,1620,634,0.18,1,775,0.32,0.57
1032_CS1.lma,850.6773,0,no,751,751,1620,751,1306,13,169,0.76,0.05,200,748,658,751,3945,658,1433,1526,751,0.8,1,2607,0.21,0.33
1034_CS1.lma,634.6746,0,no,798,798,1432,775,1270,9,169,0.46,0.01,106,523,798,798,1432,775,1270,1174,798,0.11,1,423,0.38,0.55
1035_CS2.lma,522.6732,0,no,658,634,1151,634,999,5,99,0.59,0,121,358,658,634,1151,634,999,1080,634,0.19,1,258,0.14,0.26
1039_CS1.lma,701.3421,0,no,751,1268,1550,751,1401,10,263,0.63,0.02,112,584,681,1268,2935,611,1913,1550,1268,0.69,1,1456,0.76,0.91
