date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1001_BE4.lma,349.3377,0,no,211,282,329,188,274,3,19,0.38,0.01,33,72,117,282,329,94,261,305,117,0.58,0,141,0.21,0.46
1002_2_BE2.lma,357.3378,0,no,164,235,282,164,249,4,78,0.01,0.01,13,76,94,235,282,94,243,258,94,0.41,0,188,0.2,0.49
1002_BE6.lma,314.6706,0,no,376,329,376,211,312,5,66,0,0.01,37,96,376,329,376,211,312,282,376,0.39,0,164,0.26,0.59
1009_BE2.lma,317.3373,0,no,282,282,305,188,266,4,42,0.06,0.01,16,67,282,282,587,94,264,282,282,0.48,0,493,0.19,0.53
1018_2_BE2.lma,202.6692,0,no,399,188,399,188,263,12,125,0,0,18,140,399,2137,2137,235,459,258,2137,0.37,1,1221,0.35,0.59
1018_BE6.lma,269.3367,0,no,235,235,305,164,256,5,66,0.02,-0.01,16,82,235,235,305,164,256,258,235,0.39,0,117,0.25,0.53
1032_BE8.lma,250.6698,0,no,305,282,352,235,292,3,19,0.54,0.01,25,59,305,282,352,235,292,258,305,0.24,0,47,0.15,0.45
1039_BE2.lma,274.6701,0,no,305,305,352,235,306,4,19,0.43,0.01,20,62,986,305,1080,235,404,305,986,0.67,0,822,0.96,0.99
1042_BE4.lma,186.669,0,no,282,352,352,235,263,4,47,0.96,0.02,24,75,282,705,705,211,280,258,305,0.75,0.22,423,0.25,0.59
1060_BE1.lma,394.6716,0,no,423,352,517,305,361,4,75,0.01,-0.02,39,123,540,352,564,305,369,329,540,0.21,0,235,0.17,0.46
1065_BE5.lma,381.3381,0,no,493,282,493,282,321,2,28,0,-0.04,30,110,963,282,963,282,324,282,282,0.72,1,470,0.16,0.46
1077_BE4.lma,266.67,0,no,376,282,399,188,291,5,89,0.15,-0.01,35,111,376,282,587,188,294,282,376,0.51,0,282,0.49,0.67
1078_BE1.lma,394.6716,0,no,493,352,493,211,330,4,132,0,-0.05,54,172,1033,94,1033,94,428,305,94,0.56,1,540,0.23,0.54
1086_BE5.lma,205.3359,0,no,282,211,282,188,224,3,19,0,-0.05,15,36,282,211,282,188,224,235,282,0.51,0,47,0.44,0.6
1087_BE2.lma,349.3377,0,no,423,329,423,188,273,5,82,0,-0.01,20,138,423,329,423,164,272,282,423,0.48,0,164,0.21,0.46
1088_BE8.lma,184.0023,0,no,329,282,329,235,295,4,38,0,0,20,59,329,282,329,235,295,305,282,0.4,1,94,0.2,0.48
1105_BE6.lma,333.3375,0,no,141,329,329,141,281,5,56,0.43,0.03,38,104,117,329,775,94,290,329,282,0.52,0.94,493,0.85,0.97
1109_BE5.lma,277.3368,0,no,352,282,352,235,279,3,28,0,-0.01,20,64,352,282,681,235,283,282,282,0.4,0.1,423,0.29,0.56
1114_BE2.lma,245.3364,0,no,329,376,399,211,272,7,66,0.96,0.01,26,122,329,376,399,211,272,258,329,0.47,0,117,0.15,0.38
1116_BE2.lma,232.0029,0,no,164,282,305,164,280,8,80,0.03,0.01,26,107,94,282,1292,94,364,305,94,0.53,0.07,1033,0.87,0.99
1117_BE2.lma,240.003,0,no,164,164,423,164,240,8,70,0.85,0.02,37,170,94,94,1315,94,443,258,94,0.29,0,1174,0.29,0.48
1126_BE1.lma,432.0054,0,no,423,305,423,258,317,2,66,0,0,17,105,517,305,517,305,339,329,517,0.64,0,211,0.14,0.27
1132_2_BE3.lma,248.0031,0,no,164,258,399,164,248,7,66,0.11,0,28,148,470,258,470,211,273,235,470,0.37,0,235,0.28,0.5
1132_BE2.lma,245.3364,0,no,376,352,423,235,314,7,56,0.85,0.02,38,107,681,352,1362,235,416,305,681,0.71,0,728,0.38,0.61
1133_2_BE3.lma,341.3376,0,no,493,329,493,188,246,9,204,0,0,30,250,540,329,986,188,292,211,540,0.18,0,798,0.23,0.49
1133_BE6.lma,232.0029,0,no,258,282,282,211,260,2,9,0.42,0.03,17,37,258,282,2959,211,291,282,2959,0.45,0.1,2724,0.42,0.7
1135_BE7.lma,168.0021,0,no,211,211,235,211,228,1,9,0.19,0.01,9,20,211,1080,1080,211,269,235,1080,0.52,1,869,0.38,0.69
1136_BE6.lma,341.3376,0,no,258,258,423,188,260,6,82,0.02,-0.02,25,139,798,258,3076,188,314,258,798,0.39,0,2278,0.38,0.78
1140_BE5.lma,192.0024,0,no,211,211,282,211,248,3,28,0.63,0.01,15,49,211,211,282,211,248,258,211,0.51,1,47,0.32,0.61
1142_BE2.lma,386.6715,0,no,423,164,423,164,319,7,133,0,0.01,42,163,517,1667,1667,211,381,305,517,0.4,0,1292,0.43,0.73
1143_2_BE4.lma,218.6694,0,no,470,423,470,235,347,7,157,0,0.07,19,185,470,423,470,235,347,376,470,0.56,0,235,0.46,0.72
1143_BE6.lma,293.337,0,no,564,564,564,329,496,14,94,0,-0.02,62,162,564,775,916,446,671,564,775,0.12,1,423,0.33,0.6
1145_BE1.lma,416.0052,0,no,211,329,564,211,305,8,155,0.25,0.02,31,280,94,329,564,94,295,329,329,0.69,1,282,0.46,0.76
1146_BE3.lma,341.3376,0,no,329,376,376,211,284,3,47,0.83,0.02,44,77,329,117,376,117,282,258,329,0.39,0,258,0.33,0.51
1147_BE2.lma,296.0037,0,no,282,305,352,211,277,7,56,0.05,0.01,19,93,282,305,352,211,277,235,282,0.2,0,141,0.23,0.44
1149_BE1.lma,309.3372,0,no,493,399,493,282,404,7,94,0,0,21,121,517,399,822,329,563,376,517,0.24,0,399,0.14,0.3
1152_BE2.lma,285.3369,0,no,305,305,493,188,307,10,75,0.91,0.06,39,127,305,1221,1245,188,341,305,1221,0.36,1,681,0.17,0.4
1156_BE5.lma,173.3355,0,no,282,305,305,282,294,1,9,0.34,0.01,9,20,282,305,305,282,294,305,282,0.47,0,23,0.15,0.29
1165_BE4.lma,290.6703,0,no,188,188,329,188,248,7,38,0.55,-0.01,33,83,188,188,329,188,248,258,188,0.22,0.88,94,0.94,0.99
1168_BE4.lma,269.3367,0,no,235,258,282,211,248,2,28,0.05,0.01,13,44,798,258,1221,211,313,258,258,0.46,1,1010,0.18,0.55
1173_BE5.lma,274.6701,0,no,305,564,564,235,329,13,122,0.13,0.04,70,274,798,728,1245,235,504,282,798,0.43,0,634,0.14,0.24
1177_BE4.lma,200.0025,0,no,305,282,564,235,300,15,113,0.12,-0.04,47,241,305,282,705,94,336,282,305,0.61,0,493,0.19,0.52
1181_BE1.lma,346.671,0,no,423,329,423,305,329,2,38,0,-0.01,15,86,423,329,423,305,329,305,423,0.17,0,94,0.13,0.39
1183_BE3.lma,456.0057,0,no,493,564,564,211,327,13,211,0.95,0.01,67,227,1080,94,3170,94,380,305,1080,0.61,0,2771,0.53,0.73
1185_BE5.lma,264.0033,0,no,376,493,493,282,339,6,56,0.99,0.02,54,135,845,493,1033,94,426,305,845,0.47,0,728,0.27,0.39
