date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,100,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK004_FO_BE1.lma,616.0077,0,no,188,211,470,188,236,5,80,0.1,-0.01,32,217,94,94,470,94,215,235,470,0.57,0.1,235,0.34,0.69
KSK007_FU_BE3.lma,242.6697,0,no,188,211,305,188,251,6,66,0.03,-0.01,22,79,94,211,305,94,241,235,94,0.3,0,211,0.21,0.46
KSK012_FO_BE7.lma,461.3391,0,no,282,235,305,188,264,5,52,0.08,0,33,76,94,235,6763,94,702,305,94,0.33,0,6669,0.25,0.73
KSK014_FO_BE3.lma,400.005,0,no,235,188,305,188,263,5,80,0.48,0.01,31,85,94,94,5613,94,423,305,94,0.62,0,5472,0.61,0.7
KSK018_FO_BE7.lma,314.6706,0,no,211,376,446,188,332,9,56,0.68,0.04,33,95,94,376,1573,94,339,352,376,0.38,1,1479,0.2,0.48
KSK024_FO_BE4.lma,413.3385,0,no,188,211,470,188,221,7,113,0.92,0.02,22,224,94,94,6904,94,1209,235,94,0.49,1,6810,0.59,0.71
KSK026_SN_BE3.lma,288.0036,0,no,423,493,493,305,379,4,47,0.9,0.02,38,91,423,540,728,94,377,352,540,0.29,1,446,0.22,0.46
KSK028_SN_BE3.lma,250.6698,0,no,188,352,399,188,292,11,99,0.12,0.03,35,133,94,352,376,94,262,305,352,0.53,1,164,0.44,0.65
KSK029_SN_BE1.lma,354.6711,0,no,423,305,493,282,352,6,94,0.88,0,20,144,423,94,986,94,380,352,94,0.33,1,681,0.25,0.52
KSK032_SN_BE3.lma,328.0041,0,no,305,282,423,211,299,6,108,0.86,0,19,128,305,94,329,94,270,282,329,0.23,0.11,235,0.31,0.58
KSK038_SN_BE5.lma,218.6694,0,no,681,399,728,376,501,11,141,0.1,-0.13,55,202,1644,94,1644,94,693,986,1644,0.58,0,963,0.28,0.49
KSK049_SN_BE2.lma,349.3377,0,no,470,258,470,258,284,6,141,0,0.01,20,198,470,94,470,94,264,258,470,0.2,0,235,0.28,0.53
KSK054_FO_BE1.lma,376.0047,0,no,329,258,399,258,295,4,66,0.81,0,23,103,329,94,352,94,263,305,94,0.65,1,211,0.21,0.51
KSK055_SN_BE2.lma,416.0052,0,no,258,329,470,258,335,11,108,0.34,0.01,83,139,94,94,446,94,215,235,94,0.65,0.99,352,0.33,0.67
KSK056_SN_BE3.lma,386.6715,0,no,258,282,705,258,275,8,315,0.11,0.01,29,440,94,94,352,94,224,258,94,0.6,1,141,0.36,0.66
KSK066_SN_BE2.lma,416.0052,0,no,329,258,493,258,280,5,94,0.87,0,23,219,94,94,352,94,261,258,329,0.59,0.01,235,0.3,0.63
KSK078_SN_BE2.lma,309.3372,0,no,258,258,329,258,299,3,19,0.31,0,24,41,211,94,329,94,277,329,94,0.57,1,188,0.23,0.52
KSK082_1_FU_BE2.lma,277.3368,0,no,376,376,376,258,330,5,42,0,0.01,27,63,376,376,376,235,327,305,376,0.24,0,94,0.25,0.43
KSK082_2_FU_BE2.lma,258.6699,0,no,329,305,399,258,327,5,38,0.51,0.03,50,93,329,305,399,235,325,235,329,0.24,0,94,0.23,0.4
KSK094_FU_BE1.lma,464.0058,0,no,258,446,728,258,480,11,291,0.94,-0.03,45,301,94,916,986,94,819,939,916,0.64,1,493,0.21,0.48
KSK094_SL_BE14.lma,250.6698,0,no,446,399,446,282,375,5,38,0,-0.01,29,100,94,399,446,94,337,352,446,0.4,0.11,352,0.3,0.67
KSK096_SL_BE7.lma,330.6708,0,no,188,188,493,188,298,14,94,0.18,-0.06,44,193,117,634,1033,94,625,986,117,0.53,0,728,0.38,0.73
KSK105_FU_BE3.lma,285.3369,0,no,282,258,376,211,308,5,42,0.7,0.01,29,85,282,258,376,211,308,282,282,0.19,0,94,0.46,0.63
KSK132_FO_BE3.lma,309.3372,0,no,446,399,470,399,445,1,9,0.03,-0.02,9,24,446,845,5706,446,1267,892,845,0.7,1,5237,0.35,0.54
KSK140_ZS_BE.lma,485.3394,0,no,282,305,681,258,380,10,155,0.07,-0.01,44,276,94,94,7068,94,522,188,939,0.23,0.91,6904,0.59,0.74
KSK141_ZS_BE3.lma,456.0057,0,no,258,376,540,258,347,9,169,0.84,0.04,47,231,188,117,540,94,298,305,117,0.3,1,423,0.36,0.72
KSK144_FO_BE2.lma,402.6717,0,no,305,352,446,282,381,3,28,0.39,0.01,53,92,141,94,446,94,277,211,94,0.74,0.93,235,0.2,0.48
KSK148_SN_BE3.lma,333.3375,0,no,587,446,587,282,340,8,172,0,0.02,28,277,94,446,446,94,325,352,94,0.51,0,164,0.2,0.48
KSK149_SN_BE3.lma,360.0045,0,no,329,399,423,258,279,3,70,0.96,0.01,22,130,94,399,423,94,254,235,117,0.19,0.07,188,0.19,0.47
KSK156_2_FO_BE3.lma,274.6701,0,no,258,540,634,258,499,15,94,0.75,0.08,81,219,211,540,963,211,745,869,211,0.4,0,634,0.13,0.24
KSK159_FO_BE3.lma,394.6716,0,no,376,258,540,258,349,8,94,0.84,0.01,44,182,376,211,963,117,363,376,329,0.6,0.94,611,0.19,0.49
KSK161_FO_BE3.lma,362.6712,0,no,282,329,470,258,325,11,127,0.31,-0.01,65,138,117,188,399,94,221,235,117,0.42,0,188,0.22,0.45
KSK163_FU_BE2.lma,328.0041,0,no,329,305,352,258,289,3,47,0.08,0,20,67,329,94,329,94,265,258,329,0.19,0.92,188,0.22,0.54
KSK165_SN_BE3.lma,312.0039,0,no,258,305,352,258,320,3,23,0.48,0.03,20,51,94,235,352,94,293,352,94,0.66,0.14,164,0.16,0.52
KSK166_SN_BE5.lma,186.669,0,no,305,352,705,258,387,52,268,0.16,0.04,149,339,94,188,705,94,220,235,705,0.39,0.16,587,0.22,0.55
KSK167_SN_BE4.lma,344.0043,0,no,423,376,446,258,277,8,136,0.03,-0.01,26,156,94,117,282,94,239,258,94,0.59,0.07,141,0.3,0.69
KSK168_SN_BE3.lma,498.6729,0,no,282,258,446,258,288,4,80,0.85,0.01,21,144,94,94,423,94,260,305,282,0.45,0.93,188,0.19,0.5
KSK169_SN_BE3.lma,317.3373,0,no,258,399,423,258,297,5,103,0.14,0.03,16,152,94,399,423,94,261,305,94,0.62,0,188,0.16,0.49
KSK170_SN_BE3.lma,397.3383,0,no,235,141,282,141,236,6,61,0.64,0,24,96,94,94,6247,94,504,235,6129,0.24,0.08,6012,0.25,0.65
KSK171_SN_BE3.lma,586.674,0,no,164,188,258,141,209,3,52,0.68,0.02,21,101,94,188,6059,94,349,258,117,0.8,0.04,5894,0.35,0.7
KSK172_SN_BE3.lma,445.3389,0,no,141,141,282,141,240,4,47,0.59,0.02,28,134,94,94,282,94,228,282,94,0.8,0.08,117,0.22,0.66
