date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK004_FO_CS1.lma,957.3453,0,no,705,751,963,540,745,5,197,0.15,0.01,39,242,705,751,1550,540,785,751,705,0.25,0,986,0.15,0.46
KSK007_FU_CS3.lma,581.3406,0,no,611,705,1221,611,986,9,122,0.74,0.05,118,404,611,423,1221,423,982,916,423,0.24,1,399,0.21,0.3
KSK014_FO_CS1.lma,882.6777,0,no,564,845,1174,564,1049,5,141,0.26,0,108,502,282,845,6059,282,1390,1033,282,0.11,0,5425,0.31,0.67
KSK015_FO_CS1.lma,706.6755,0,no,329,329,705,329,636,4,141,0.59,0,66,311,282,329,705,282,623,658,282,0.25,0,399,0.2,0.54
KSK017_FO_CS2.lma,1013.346,0,no,751,517,798,517,762,4,150,0.04,0.01,30,270,751,517,1832,282,848,775,1832,0.1,0.05,1292,0.13,0.43
KSK018_FO_CS1.lma,744.0093,0,no,423,1198,1198,423,834,29,282,0.73,0.03,187,474,329,1221,1432,329,925,822,1221,0.26,1,892,0.19,0.48
KSK022_SN_CS.lma,626.6745,0,no,751,775,1315,681,1075,12,103,0.74,0.07,101,487,305,775,6787,282,1725,2419,6411,0.63,0.05,6106,0.43,0.58
KSK023_SN_CS1.lma,978.6789,0,no,705,1174,1597,705,1336,8,297,0.13,-0.02,120,729,282,1174,3523,282,1809,1127,282,0.06,0,2348,0.34,0.58
KSK024_FO_CS1.lma,1069.3467,0,no,1057,892,1479,587,971,19,456,0.84,-0.01,136,549,1057,892,1479,587,971,1057,1057,0.55,0,775,0.3,0.66
KSK025_SN_CS.lma,1005.3459,0,no,728,1151,1268,587,1077,7,197,0.78,0.04,75,343,728,1151,3499,587,1292,1127,728,0.41,0,2348,0.22,0.44
KSK026_SN_CS2.lma,1170.6813,0,no,1151,845,1620,845,1323,10,305,0.35,-0.02,86,392,1151,2701,4016,1151,1803,3734,2701,0.79,1,2677,0.27,0.42
KSK028_SN_CS1.lma,1061.3466,0,no,892,1080,1855,705,1258,21,296,0.73,0.04,126,532,611,1080,5448,564,1728,1221,611,0.27,0,4110,0.26,0.57
KSK029_SN_CS3.lma,1005.3459,0,no,1198,1292,1597,1127,1445,11,225,0.53,-0.02,99,323,1198,4344,4744,540,2674,1315,4344,0.03,1,3945,0.31,0.38
KSK030_SN_CS1.lma,1138.6809,0,no,681,728,1245,634,989,8,254,0.92,-0.03,93,457,681,728,3429,634,1121,1127,681,0.37,0,2301,0.2,0.5
