date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK003_EDG_CS2.lma,720.009,0,no,587,1104,1386,587,977,11,277,0.84,0.07,109,414,587,1104,1386,376,964,705,634,0.12,0.05,681,0.15,0.41
KSK007_EDG_CS8.lma,480.006,0,no,892,963,1127,634,1029,8,150,0.15,-0.05,87,326,470,963,1127,470,1027,1057,963,0.68,1,423,0.29,0.37
KSK008_EDG_CS.lma,1200.015,0,no,305,399,728,305,464,5,141,0.08,0,75,259,282,282,1010,282,821,845,329,0.28,0.03,611,0.2,0.61
KSK009_EDG_CS.lma,832.0104,0,no,423,587,892,329,671,10,272,0.25,-0.02,129,421,423,1127,1221,329,868,1198,423,0.65,0,728,0.27,0.55
KSK028_EDG_CS2.lma,757.3428,0,no,611,728,1151,587,988,12,216,0.43,0.01,122,371,611,728,3405,587,1041,775,939,0.14,0.96,2325,0.28,0.37
KSK031_LAM_CS.lma,560.007,0,no,564,1127,1503,564,949,24,573,0.25,0.03,144,585,517,1127,2278,376,1401,845,1127,0.85,1,1198,0.3,0.39
KSK033_FAN_CS.lma,664.0083,0,no,728,681,1151,564,856,7,75,0.15,-0.08,98,348,329,681,1151,329,830,986,681,0.45,1,470,0.25,0.66
KSK034_EDG_CS2.lma,733.3425,0,no,798,751,963,681,854,5,56,0.23,-0.02,69,188,798,751,1832,681,863,751,751,0.08,1,939,0.22,0.39
KSK036_LAM_CS4.lma,541.3401,0,no,916,845,1198,587,956,14,240,0.07,-0.03,115,424,916,845,2395,587,1150,845,916,0.79,0,1785,0.28,0.37
KSK039_LAM_CS1.lma,776.0097,0,no,939,587,1268,564,930,15,254,0.9,-0.02,152,397,939,587,1268,282,928,1057,916,0.41,0.03,587,0.22,0.55
KSK046_EDG_CS2.lma,362.6712,0,no,822,845,1104,564,891,14,193,0.56,-0.02,126,342,822,845,2254,564,968,751,798,0.8,0.9,1221,0.29,0.41
KSK049_EDG_CS3.lma,562.6737,0,no,798,798,798,446,603,11,146,0,0,88,207,845,845,1151,493,747,611,845,0.37,1,587,0.23,0.34
MTB002_KOC_CS1.lma,106.668,0,no,728,728,751,681,734,6,28,0.26,-0.02,14,48,728,728,751,681,734,751,728,0.49,0,70,0.44,0.69
MTB004_KOC_CS1.lma,725.3424,0,no,822,869,1503,822,1388,8,244,0.81,0.04,73,651,822,869,1503,822,1388,1479,869,0.72,1,611,0.7,0.91
